,label,lem_stpwrd
0,0,no way plug united state america unless go converted
1,1,good case excellent value
2,1,great jawbone
3,0,tied charge conversation lasting 45 minute major problem
4,1,mid great
5,0,jingle plug get line right get decent volume
6,0,several dozen several hundred contact imagine fun sending one one
7,1,razor owner must
8,0,needle say wasted money
9,0,waste money time
10,1,sound quality great
11,1,wa impressed going original battery extended battery
12,0,two separated mere 5 ft started notice excessive static marbled sound head
13,1,good quality though
14,0,design odd ear clip not comfortable
15,1,highly recommend one ha blue tooth phone
16,0,advise everyone do not fooled
17,1,far good
18,1,work great
19,0,click place way make wonder long mechanism would last
20,0,went motorola's webster followed direction but could not get pair
21,1,bought use kindle fire absolutely loved
22,0,commercial misleading
23,1,yet run new battery below two bar that's three day without charging
24,0,bought mother problem battery
25,1,great pocket pp phone combination
26,1,i've owned phone 7 month say best mobile phone i've
27,0,didn't think instruction provided helpful
28,0,people couldn hear talk pull earphone talk phone
29,0,doesn't hold charge
30,0,simple little phone use but leakage unacceptable
31,1,product ideal people like whose ear sensitive
32,0,unable moving car freely speed
33,0,two year left contract hate phone
34,1,car charge well ac charge included make sure never run juice high recommended
35,0,need least 3 mind get phone book time first turn phone battery life short
36,1,ha kept well
37,0,poor talk time performance
38,1,case great work fine 680
39,0,worthless product
40,1,ha great camera imp pick nice clear great picture quality
41,0,wa not impressed product
42,1,nice head price right
43,0,hear garage audit
44,1,excellent bluetooth head
45,1,ha feature want
46,0,right mind donna buy battery
47,0,after arguing horizon regarding dropped call returned phone after two day
48,1,case seems well made
49,0,disappointed battery
50,0,not loud enough doesn't turn like
51,1,good protection doe not make phone bulky
52,1,unable keyboard actually turn pad real world useful machine instead neat cadet
53,1,phone pretty sturdy i've never large problem
54,1,love thing
55,1,everything fine reasonable price e
56,0,disappointed
57,1,even dropped phone stream wa submerged 15 second still work great
58,1,happy 510 no complaint one regarding sound quality end
59,0,button bad
60,0,essentially forget microsoft's teach support
61,1,really recommend faceplate since look nice elegant cool
62,1,headphone great find think perhaps best purchase i've made last several year seriously
63,0,buy different phone but not
64,0,hold phone particular angle party hear clearly
65,0,one big drawback may player button phone's front cover let pause skin song lock after second
66,0,week later after activate suddenly died
67,1,feel comfortable headset wear glass get way sometimes
68,1,great good
69,1,device great several situation 1
70,0,mid doesn't work
71,0,even bow 3 series fairly quiet trouble hearing person saying
72,1,great choice
73,1,nice locking station home work
74,1,beautiful phone
75,1,love product
76,0,do not buy d807 wrongly advertised d807
77,1,great little item
78,1,love phone handy ha lot feature
79,0,purchased within 2 day wa no longer working
80,1,wear everyday hold well
81,0,not good bargain
82,1,well package arrived time work intended
83,0,battery run quickly
84,0,item worked great but broke after 6 month use
85,1,headset easy use everyone love
86,1,phone work great
87,0,construction headset poor
88,1,product wa excellent work better horizon one boy wa cheaper
89,1,phone load super
90,0,product cost much one doe expect work far better greater ease thing doe
91,1,made sturdy
92,1,worked great
93,0,ear bud play music one ear
94,0,dont waste money
95,1,order
96,0,plan use car forget
97,0,found product way big
98,1,best i've found far i've tried 2 bluetooths one ha best quality both listener well ease using
99,0,i'm disappointed decision
100,1,integrated fearlessly motorola razor phone
101,0,buyer beware could flush money right toilet
102,1,definitely bargain
103,1,price wa good free shipping wa good purchase
104,0,received supposedly new motorola 375 apparently wa not match between phone charge
105,1,pro good camera nice picture also ha cool style like black white
106,0,that's huge design flaw unless i'm not using correctly don't think case
107,1,love 350 head jabra350 bluetooth head great reception good ear piece comfortable fit
108,0,camera although rate impressive 1 3 megapixels render image fall well below expectation relatively high resolution
109,0,purchased car charge doe not work
110,1,sound quality both end excellent use head call wife ask wife use head call 2
111,1,phone slim light display beautiful
112,1,little week but think sex toast rock ooze sex right battery embedded sleek stylish leather case
113,1,great product fast shipping
114,1,absolutely great
115,1,keyboard nice compromise between full twenty basic cell phone number keypad
116,0,got phone around end may i'm completely unhappy
117,1,comfortable ear
118,1,ha winner u
119,1,set couldn't simpler
120,1,i've tried several different earpiece cell phone mavra one first one i've found fit ear comfortably
121,0,could not get strong enough signal
122,1,pleased purchase
123,0,bad quality
124,1,get job done
125,1,great audit
126,0,basically service wa bad
127,0,not work cell phone plug set charge
128,1,i've bluetooth week but really like
129,0,head wa disappointment
130,1,small don't even realize after getting used
131,1,accompanied software almost brilliant
132,1,head work great wa package nicely avoid damage
133,1,definitely recommend
134,0,buyer careful
135,0,majority logitech earned headset failed
136,1,good stuff price
137,1,head work pachy keen
138,0,house wa getting dropped coverage upstairs no coverage basement
139,1,voice recognition tremendous
140,0,waste
141,0,several different 2 minute call experienced 5 drop wa area 5 bar
